transaction_date,brand_name,outlet_name,year_month,is_weekend,total_orders,total_completed_orders,total_sales,total_promo_orders,total_promo_sales,total_non_promo_orders,total_non_promo_sales,platform_promo_spend,1.Morning_promo_spend,2.Afternoon_promo_spend,3.Evening_promo_spend,4.Late night_promo_spend,Platform A_spend,Platform B_spend,Platform C_spend,no_of_ads,ad_spend,clicks,impressions,reach,cost_per_click
2020-02-05,Pizzeria,Pizzeria - Central,2020-02,False,7.0,7.0,251.97,0.0,0.0,7.0,251.97,0.0,0.0,0.0,0.0,,0.0,,,5.0,42.3,114.0,12084.0,11347.0,0.37105263157894736
2020-02-06,Pizzeria,Pizzeria - Central,2020-02,False,5.0,5.0,202.21000000000004,0.0,0.0,5.0,202.21000000000004,0.0,0.0,0.0,,,0.0,0.0,,5.0,43.22,104.0,13358.0,12506.0,0.41557692307692307
2020-02-07,Pizzeria,Pizzeria - Central,2020-02,False,7.0,7.0,238.61,0.0,0.0,7.0,238.61,0.0,0.0,0.0,0.0,,0.0,,,5.0,44.75,78.0,10524.0,9813.0,0.5737179487179487
2020-02-08,Pizzeria,Pizzeria - Central,2020-02,True,10.0,10.0,549.44,2.0,214.0,8.0,335.44000000000005,60.0,14.0,0.0,6.0,,0.0,20.0,,5.0,45.77,96.0,10571.0,9800.0,0.47677083333333337
2020-02-09,Pizzeria,Pizzeria - Central,2020-02,True,13.0,13.0,827.6400000000001,3.0,258.94,10.0,568.7,72.6,7.3,10.14,0.0,,0.0,18.15,,5.0,45.339999999999996,75.0,10794.0,10038.0,0.6045333333333333
2020-02-10,Pizzeria,Pizzeria - Central,2020-02,False,5.0,5.0,280.32,0.0,0.0,5.0,280.32,0.0,0.0,0.0,0.0,,0.0,0.0,,5.0,45.93,74.0,10525.0,9947.0,0.6206756756756757
2020-02-11,Pizzeria,Pizzeria - Central,2020-02,False,13.0,13.0,592.77,3.0,155.15,10.0,437.61999999999995,43.5,0.0,5.1,9.0,,0.0,14.5,,5.0,45.64,97.0,11809.0,11110.0,0.4705154639175258
2020-02-12,Pizzeria,Pizzeria - Central,2020-02,False,4.0,4.0,103.77000000000001,0.0,0.0,4.0,103.77000000000001,0.0,0.0,0.0,0.0,,0.0,0.0,,5.0,44.730000000000004,109.0,12059.0,11230.0,0.4103669724770643
2020-02-13,Pizzeria,Pizzeria - Central,2020-02,False,8.0,8.0,549.97,2.0,286.76,6.0,263.21000000000004,80.4,0.0,26.8,0.0,,0.0,80.4,,5.0,43.83,86.0,9848.0,9321.0,0.5096511627906977
2020-02-14,Pizzeria,Pizzeria - Central,2020-02,False,7.0,7.0,400.7,1.0,64.2,6.0,336.5,18.0,0.0,4.5,0.0,,0.0,18.0,,9.0,39.25,67.0,7745.0,7530.0,0.585820895522388
2020-02-15,Pizzeria,Pizzeria - Central,2020-02,True,4.0,4.0,116.09,0.0,0.0,4.0,116.09,0.0,0.0,0.0,,,0.0,,,5.0,37.37,127.0,9870.0,9629.0,0.294251968503937
2020-02-16,Pizzeria,Pizzeria - Central,2020-02,True,7.0,7.0,387.85,0.0,0.0,7.0,387.85,0.0,,0.0,0.0,,0.0,,,5.0,37.910000000000004,146.0,12531.0,12308.0,0.2596575342465754
2020-02-17,Pizzeria,Pizzeria - Central,2020-02,False,6.0,6.0,422.09999999999997,1.0,29.96,5.0,392.14,4.2,,1.05,,,0.0,4.2,,5.0,39.89,116.0,12117.0,11947.0,0.3438793103448276
2020-02-18,Pizzeria,Pizzeria - Central,2020-02,False,7.0,7.0,275.51,0.0,0.0,7.0,275.51,0.0,,0.0,0.0,,0.0,0.0,,5.0,37.45,137.0,11190.0,11024.0,0.27335766423357666
2020-02-19,Pizzeria,Pizzeria - Central,2020-02,False,5.0,5.0,155.15,0.0,0.0,5.0,155.15,0.0,0.0,0.0,0.0,,0.0,,,5.0,33.98,172.0,12712.0,12473.0,0.19755813953488371
2020-02-20,Pizzeria,Pizzeria - Central,2020-02,False,4.0,4.0,265.88,0.0,0.0,4.0,265.88,0.0,,0.0,0.0,,0.0,0.0,,5.0,35.91,96.0,10459.0,10142.0,0.37406249999999996
2020-02-21,Pizzeria,Pizzeria - Central,2020-02,False,3.0,3.0,92.02000000000001,0.0,0.0,3.0,92.02000000000001,0.0,,0.0,0.0,,0.0,,,5.0,34.9,63.0,9482.0,9104.0,0.553968253968254
2020-02-22,Pizzeria,Pizzeria - Central,2020-02,True,4.0,4.0,116.08000000000001,0.0,0.0,4.0,116.08000000000001,0.0,,0.0,0.0,,0.0,0.0,,7.0,57.650000000000006,122.0,14931.0,14448.0,0.47254098360655744
2020-02-23,Pizzeria,Pizzeria - Central,2020-02,True,15.0,15.0,646.2600000000001,0.0,0.0,15.0,646.2600000000001,0.0,,0.0,0.0,,0.0,0.0,,7.0,59.19,187.0,15468.0,14875.0,0.316524064171123
2020-02-24,Pizzeria,Pizzeria - Central,2020-02,False,8.0,8.0,312.40999999999997,0.0,0.0,8.0,312.40999999999997,0.0,0.0,0.0,0.0,,0.0,,,7.0,61.36,185.0,11329.0,10828.0,0.3316756756756757
2020-02-25,Pizzeria,Pizzeria - Central,2020-02,False,13.0,13.0,574.5699999999999,1.0,64.2,12.0,510.36999999999995,9.0,0.0,1.8,0.0,,0.0,9.0,,7.0,70.36,192.0,13039.0,12261.0,0.36645833333333333
2020-02-26,Pizzeria,Pizzeria - Central,2020-02,False,4.0,4.0,202.76,0.0,0.0,4.0,202.76,0.0,,0.0,0.0,,0.0,,,9.0,85.75,239.0,20620.0,19772.0,0.3587866108786611
2020-02-27,Pizzeria,Pizzeria - Central,2020-02,False,3.0,3.0,205.43,0.0,0.0,3.0,205.43,0.0,0.0,,0.0,,0.0,,,9.0,85.32,160.0,19410.0,18622.0,0.53325
2020-02-28,Pizzeria,Pizzeria - Central,2020-02,False,8.0,8.0,331.70000000000005,2.0,58.85,6.0,272.85,8.25,0.0,0.0,4.125,,0.0,4.125,,9.0,89.11999999999999,185.0,19025.0,18320.0,0.48172972972972966
2020-02-29,Pizzeria,Pizzeria - Central,2020-02,True,9.0,9.0,539.26,0.0,0.0,9.0,539.26,0.0,0.0,0.0,0.0,,0.0,,,9.0,65.80000000000001,113.0,13124.0,12711.0,0.5823008849557523
2020-03-01,Pizzeria,Pizzeria - Central,2020-03,True,7.0,7.0,300.65000000000003,0.0,0.0,7.0,300.65000000000003,0.0,0.0,0.0,0.0,,0.0,,,9.0,43.489999999999995,83.0,11894.0,11563.0,0.5239759036144578
2020-03-02,Pizzeria,Pizzeria - Central,2020-03,False,5.0,5.0,404.46,0.0,0.0,5.0,404.46,0.0,,0.0,0.0,,0.0,,,9.0,44.349999999999994,92.0,9988.0,9660.0,0.4820652173913043
2020-03-03,Pizzeria,Pizzeria - Central,2020-03,False,5.0,5.0,389.48,1.0,35.31,4.0,354.17,4.95,,1.6500000000000001,0.0,,0.0,4.95,,9.0,45.56,127.0,14655.0,14167.0,0.35874015748031496
2020-03-04,Pizzeria,Pizzeria - Central,2020-03,False,8.0,8.0,497.01,0.0,0.0,8.0,497.01,0.0,0.0,0.0,0.0,,0.0,,,9.0,44.59,131.0,17629.0,17101.0,0.340381679389313
2020-03-05,Pizzeria,Pizzeria - Central,2020-03,False,2.0,2.0,73.83,0.0,0.0,2.0,73.83,0.0,0.0,0.0,,,0.0,,,9.0,44.51,106.0,12279.0,11812.0,0.4199056603773585
2020-03-06,Pizzeria,Pizzeria - Central,2020-03,False,6.0,6.0,291.55,1.0,64.2,5.0,227.35,9.0,0.0,4.5,0.0,,0.0,4.5,,9.0,45.07,121.0,14443.0,14065.0,0.3724793388429752
2020-03-07,Pizzeria,Pizzeria - Central,2020-03,True,7.0,7.0,362.19,0.0,0.0,7.0,362.19,0.0,0.0,0.0,0.0,,0.0,0.0,,9.0,42.620000000000005,101.0,13316.0,12975.0,0.421980198019802
2020-03-08,Pizzeria,Pizzeria - Central,2020-03,True,7.0,7.0,303.87,0.0,0.0,7.0,303.87,0.0,,0.0,0.0,,0.0,,,11.0,30.759999999999998,68.0,7687.0,7477.0,0.45235294117647057
